date,account,category,amount,currency,converted amount,currency,description
23/10/2021,Cash,Clothes,-20,EUR,-20,EUR,Sudadera
23/10/2021,Cash,Bills,-33.52,EUR,-33.52,EUR,Gas
24/10/2021,Cash,Food,-11,EUR,-11,EUR,Mercadona
24/10/2021,Cash,Food,-20,EUR,-20,EUR,Varis menjar
25/10/2021,Cash,Entertainment,-21,EUR,-21,EUR,Axes
26/10/2021,Cash,House,-100,EUR,-100,EUR,Taula segon pagament
28/10/2021,Cash,Food,-45,EUR,-45,EUR,Mercadona
29/10/2021,Cash,House,-191,EUR,-191,EUR,Ikea
29/10/2021,Cash,Car,-4.5,EUR,-4.5,EUR,Parking sg família
30/10/2021,Cash,Food,-27,EUR,-27,EUR,Lidl
30/10/2021,Cash,Entertainment,-5,EUR,-5,EUR,Castanyada decoració
03/11/2021,Cash,House,-350,EUR,-350,EUR,Lloguer pis
03/11/2021,Cash,Bills,-30,EUR,-30,EUR,Llum
03/11/2021,Cash,Sports,-100,EUR,-100,EUR,Bamboo
03/11/2021,Cash,Salary,"1,500",EUR,"1,500",EUR,Nòmina
03/11/2021,Cash,Bills,-105,EUR,-105,EUR,Raiola hosting
04/11/2021,Cash,Car,-80,EUR,-80,EUR,Parking
04/11/2021,Cash,Food,-44,EUR,-44,EUR,Mercadona
04/11/2021,Cash,Food,-50,EUR,-50,EUR,Pote menjat
04/11/2021,Cash,Bills,-37,EUR,-37,EUR,Pepephone
05/11/2021,Cash,Entertainment,-30,EUR,-30,EUR,Kubatas Merlin
05/11/2021,Cash,Entertainment,-15,EUR,-15,EUR,Ovella negra
05/11/2021,Cash,Entertainment,-15,EUR,-15,EUR,Merlin entrada
08/11/2021,Cash,Cosmetic,-8,EUR,-8,EUR,Fisiocrem
08/11/2021,Cash,Food,-10,EUR,-10,EUR,Mercadona
11/11/2021,Cash,Health,-13.43,EUR,-13.43,EUR,Herboriateria
11/11/2021,Cash,Food,-25,EUR,-25,EUR,Lidl
13/11/2021,Cash,Food,-19.69,EUR,-19.69,EUR,Mercadona
13/11/2021,Cash,Eating out,-25,EUR,-25,EUR,Dinar 
13/11/2021,Cash,Eating out,-4,EUR,-4,EUR,Cafe
13/11/2021,Cash,Food,-4,EUR,-4,EUR,Too good to go
16/11/2021,Cash,Food,-8.28,EUR,-8.28,EUR,Fruiteria
18/11/2021,Cash,Entertainment,-5,EUR,-5,EUR,Birres
20/11/2021,Cash,Food,-30,EUR,-30,EUR,Pote menjar
23/11/2021,Cash,Food,-36,EUR,-36,EUR,Lidl
23/11/2021,Cash,Health,-30,EUR,-30,EUR,Cant
27/11/2021,Cash,Food,-53,EUR,-53,EUR,Mercadona
27/11/2021,Cash,Transport,-11,EUR,-11,EUR,Metro
27/11/2021,Cash,Food,-20,EUR,-20,EUR, Varis cuina
27/11/2021,Cash,House,-21,EUR,-21,EUR,Torradora
27/11/2021,Cash,Clothes,-10,EUR,-10,EUR,Samarreta màniga llarga
27/11/2021,Cash,Food,-3.45,EUR,-3.45,EUR,Fruita
30/11/2021,Cash,Food,-17,EUR,-17,EUR,Mercadona
01/12/2021,Cash,Entertainment,-2.8,EUR,-2.8,EUR,Birra
01/12/2021,Cash,Eating out,-1.35,EUR,-1.35,EUR,Cofee
02/12/2021,Cash,Sports,-100,EUR,-100,EUR,Bamboo
02/12/2021,Cash,Eating out,-9,EUR,-9,EUR,Dinar ofi
04/12/2021,Cash,Food,-45,EUR,-45,EUR,Mercadona
05/12/2021,Cash,House,-13,EUR,-13,EUR,Varis casa
05/12/2021,Cash,Sports,-12,EUR,-12,EUR,Hwarang
05/12/2021,Cash,Food,-50,EUR,-50,EUR,Pote menjar
05/12/2021,Cash,Bills,-60,EUR,-60,EUR,Deutes
06/12/2021,Cash,Bills,-37,EUR,-37,EUR,Pepephone
06/12/2021,Cash,Health,-120,EUR,-120,EUR,Cant
10/12/2021,Cash,House,-350,EUR,-350,EUR,Lloguer pis
10/12/2021,Cash,Bills,-45,EUR,-45,EUR,Llum
10/12/2021,Cash,Bills,-30,EUR,-30,EUR,Aigua
10/12/2021,Cash,Salary,"1,500",EUR,"1,500",EUR,Salary
10/12/2021,Cash,Car,-80,EUR,-80,EUR,Parking
10/12/2021,Cash,House,-50,EUR,-50,EUR,Minipimer
10/12/2021,Cash,Food,-13,EUR,-13,EUR,Taller pa
10/12/2021,Cash,Entertainment,-5,EUR,-5,EUR,Bars
11/12/2021,Cash,Eating out,-6.4,EUR,-6.4,EUR,Buenas migas 
11/12/2021,Cash,Eating out,-7.5,EUR,-7.5,EUR,Pummarola
12/12/2021,Cash,Eating out,-16.4,EUR,-16.4,EUR,Frabk balken bigues
12/12/2021,Cash,Food,-10,EUR,-10,EUR,Fruita
13/12/2021,Cash,Food,-11,EUR,-11,EUR,Bigues
13/12/2021,Cash,Sports,-26,EUR,-26,EUR,Cursa
16/12/2021,Cash,House,-8.3,EUR,-8.3,EUR,Bazar badal
17/12/2021,Cash,Eating out,-4,EUR,-4,EUR,Too good to go
18/12/2021,Cash,Food,-16,EUR,-16,EUR,Mercat sants
18/12/2021,Cash,Cosmetic,-19.75,EUR,-19.75,EUR,Diet center
18/12/2021,Cash,House,-17.5,EUR,-17.5,EUR,Bazar badal
19/12/2021,Cash,Eating out,-5.5,EUR,-5.5,EUR,Pizza
20/12/2021,Cash,Food,-24,EUR,-24,EUR,Mercat sants
20/12/2021,Cash,Food,-14,EUR,-14,EUR,Graner barri
20/12/2021,Cash,Bills,-4,EUR,-4,EUR,Prime
21/12/2021,Cash,Food,-23,EUR,-23,EUR,Mercat sants
24/12/2021,Cash,Food,-22.5,EUR,-22.5,EUR,Unknow
24/12/2021,Cash,Health,-7,EUR,-7,EUR,Antígens
24/12/2021,Cash,Entertainment,-5,EUR,-5,EUR,Estanc
25/12/2021,Cash,Entertainment,-3,EUR,-3,EUR,Unknow
26/12/2021,Cash,Eating out,-6.5,EUR,-6.5,EUR,Buenas migas 
28/12/2021,Cash,Food,-26,EUR,-26,EUR,Mercadona
28/12/2021,Cash,Health,-4,EUR,-4,EUR,Gibrell
28/12/2021,Cash,House,-260,EUR,-260,EUR,Instal calentador
30/12/2021,Cash,Eating out,-3,EUR,-3,EUR,Kfe
30/12/2021,Cash,Food,-25,EUR,-25,EUR,Mercadona
30/12/2021,Cash,Food,-15,EUR,-15,EUR,Graner barri
30/12/2021,Cash,House,-6.45,EUR,-6.45,EUR,Bazar
31/12/2021,Cash,House,-3.3,EUR,-3.3,EUR,Bazar
31/12/2021,Cash,Food,-6,EUR,-6,EUR,Guisona
31/12/2021,Cash,Food,-2.45,EUR,-2.45,EUR,Fruita
31/12/2021,Cash,Food,-11.87,EUR,-11.87,EUR,Ametller
01/01/2022,Cash,Eating out,-18.7,EUR,-18.7,EUR,Wok to walk
02/01/2022,Cash,Gifts,-46,EUR,-46,EUR,Llibres fnac
03/01/2022,Cash,Transport,-11,EUR,-11,EUR,Metro
03/01/2022,Cash,Gifts,-40,EUR,-40,EUR,Arturia
03/01/2022,Cash,Food,-27,EUR,-27,EUR,Lidl
03/01/2022,Cash,Bills,-37.9,EUR,-37.9,EUR,Pepephone
04/01/2022,Cash,Gifts,-16.8,EUR,-16.8,EUR,Natura
04/01/2022,Cash,House,-10.85,EUR,-10.85,EUR,Abacus
04/01/2022,Cash,Gifts,-54,EUR,-54,EUR,Brass game
04/01/2022,Cash,House,-350,EUR,-350,EUR,Lloguer pis
04/01/2022,Cash,Bills,-50,EUR,-50,EUR,Llum
04/01/2022,Cash,Sports,-100,EUR,-100,EUR,Bamboo
04/01/2022,Cash,Salary,"1,500",EUR,"1,500",EUR,
05/01/2022,Cash,Eating out,-4.5,EUR,-4.5,EUR,Entrepa
05/01/2022,Cash,House,-8.5,EUR,-8.5,EUR,Elim
06/01/2022,Cash,Gifts,-80,EUR,-80,EUR,Ragal reis fang
11/01/2022,Cash,Food,-50,EUR,-50,EUR,Pote menjar
11/01/2022,Cash,Eating out,-20,EUR,-20,EUR,Buenas migas 
11/01/2022,Cash,Food,-35,EUR,-35,EUR,Mercadona
