date,account,category,amount,currency,converted amount,currency,description
19/05/2022,Cash,Eating out,-14.5,EUR,-14.5,EUR,Sushi
19/05/2022,Cash,Entertainment,-4.7,EUR,-4.7,EUR,Birres
19/05/2022,Cash,Eating out,-12,EUR,-12,EUR,Tacos
20/05/2022,Cash,Gifts,-9,EUR,-9,EUR,Incienso
20/05/2022,Cash,Food,-19,EUR,-19,EUR,Lidl
20/05/2022,Cash,Gifts,-20,EUR,-20,EUR,Donació
22/05/2022,Cash,Entertainment,-6,EUR,-6,EUR,Estanc
23/05/2022,Cash,Sports,-17,EUR,-17,EUR,Rocodrom
23/05/2022,Cash,Eating out,-12.5,EUR,-12.5,EUR,Dinar ofi
24/05/2022,Cash,Eating out,-6,EUR,-6,EUR,Antonios
25/05/2022,Cash,Food,-13.69,EUR,-13.69,EUR,Mercadona
26/05/2022,Cash,Eating out,-10.5,EUR,-10.5,EUR,Sushi
26/05/2022,Cash,Entertainment,-8.6,EUR,-8.6,EUR,
26/05/2022,Cash,Entertainment,-10,EUR,-10,EUR,Atic
27/05/2022,Cash,Entertainment,-6.8,EUR,-6.8,EUR,Birres
27/05/2022,Cash,Gifts,-16,EUR,-16,EUR,Regal papi
27/05/2022,Cash,Cosmetic,-12,EUR,-12,EUR,Pelu
27/05/2022,Cash,Eating out,-12,EUR,-12,EUR,Dinar bocata
28/05/2022,Cash,Gifts,-30,EUR,-30,EUR,Abacus
28/05/2022,Cash,Food,-8.8,EUR,-8.8,EUR,Fruiteria
30/05/2022,Cash,Entertainment,-10,EUR,-10,EUR,Birres laia
31/05/2022,Cash,Food,-6,EUR,-6,EUR,Area guisona
31/05/2022,Cash,Health,-7.85,EUR,-7.85,EUR,Farmacia
03/06/2022,Cash,Food,-34,EUR,-34,EUR,Lidl
03/06/2022,Cash,Entertainment,-6,EUR,-6,EUR,Estanc
03/06/2022,Cash,Salary,"1,800",EUR,"1,800",EUR,
04/06/2022,Cash,Eating out,-6.6,EUR,-6.6,EUR,Empanades
04/06/2022,Cash,Bills,-36.7,EUR,-36.7,EUR,Pepephone
04/06/2022,Cash,Car,-80,EUR,-80,EUR,Parking
04/06/2022,Cash,House,-350,EUR,-350,EUR,Lloguer pis
04/06/2022,Cash,Bills,-41,EUR,-41,EUR,Aigua
04/06/2022,Cash,Bills,-24,EUR,-24,EUR,Llum
05/06/2022,Cash,Eating out,-6.75,EUR,-6.75,EUR,St eulalia
06/06/2022,Cash,Eating out,-19,EUR,-19,EUR,Dinar el prat
06/06/2022,Cash,Entertainment,-6,EUR,-6,EUR,Gelateria 
07/06/2022,Cash,Food,-29,EUR,-29,EUR,Mercadona
08/06/2022,Cash,Eating out,-11.5,EUR,-11.5,EUR,Dinar ofi
08/06/2022,Cash,Eating out,-6.7,EUR,-6.7,EUR,Cafe
08/06/2022,Cash,Entertainment,-22.5,EUR,-22.5,EUR,Npk
08/06/2022,Cash,Bills,-21.33,EUR,-21.33,EUR,Gas
09/06/2022,Cash,Eating out,-45,EUR,-45,EUR,Vegeano
09/06/2022,Cash,Sports,-30,EUR,-30,EUR,Leo
11/06/2022,Cash,Entertainment,-25,EUR,-25,EUR,Vallcarca
12/06/2022,Cash,Food,-7,EUR,-7,EUR,Dinar 
12/06/2022,Cash,Entertainment,-7,EUR,-7,EUR,Estanc
13/06/2022,Cash,Eating out,-17.5,EUR,-17.5,EUR,Dinar ofi
14/06/2022,Cash,Eating out,-13.95,EUR,-13.95,EUR,Dinar ofi
14/06/2022,Cash,Sports,-10,EUR,-10,EUR,Mael
14/06/2022,Cash,Food,-4.15,EUR,-4.15,EUR,Paki
15/06/2022,Cash,Clothes,-19,EUR,-19,EUR,Decathlon
17/06/2022,Cash,Gifts,-6,EUR,-6,EUR,Regal Dario
17/06/2022,Cash,Food,-38,EUR,-38,EUR,Mercadona
17/06/2022,Cash,Entertainment,-8,EUR,-8,EUR,Birres lode
17/06/2022,Cash,Entertainment,-5,EUR,-5,EUR,Varis dario
17/06/2022,Cash,Transport,-11,EUR,-11,EUR,Metro
17/06/2022,Cash,Entertainment,-40,EUR,-40,EUR,Dario party
18/06/2022,Cash,Eating out,-26,EUR,-26,EUR,Sopar raquel
18/06/2022,Cash,Clothes,-40,EUR,-40,EUR,Decathlon
19/06/2022,Cash,Entertainment,-4.15,EUR,-4.15,EUR,Cafe
19/06/2022,Cash,Health,-55,EUR,-55,EUR,Cuenco
21/06/2022,Cash,Eating out,-10.5,EUR,-10.5,EUR,Sushi
21/06/2022,Cash,Sports,-10,EUR,-10,EUR,Maël
21/06/2022,Cash,Food,-5,EUR,-5,EUR,Comidita
23/06/2022,Cash,Gifts,-10,EUR,-10,EUR,Llanterna
23/06/2022,Cash,Eating out,-22.5,EUR,-22.5,EUR,Sopar st joan
25/06/2022,Cash,Eating out,-8,EUR,-8,EUR,Café parets
26/06/2022,Cash,Entertainment,-8.5,EUR,-8.5,EUR,Birra
26/06/2022,Cash,Entertainment,-8.5,EUR,-8.5,EUR,Estanc
26/06/2022,Cash,Food,-1.48,EUR,-1.48,EUR,Birra
27/06/2022,Cash,Car,-84,EUR,-84,EUR,Revisió cotxe
27/06/2022,Cash,Entertainment,-103,EUR,-103,EUR,Tokens resu
28/06/2022,Cash,Eating out,-4,EUR,-4,EUR,Puro café
28/06/2022,Cash,Eating out,-3,EUR,-3,EUR,Entrepa
28/06/2022,Cash,Eating out,-12.5,EUR,-12.5,EUR,Dinar ofi
28/06/2022,Cash,Food,-24,EUR,-24,EUR,Mercadona
29/06/2022,Cash,Eating out,-3,EUR,-3,EUR,Bocata logroño
30/06/2022,Cash,Clothes,-20,EUR,-20,EUR,Sudadera
02/07/2022,Cash,Entertainment,-38,EUR,-38,EUR,Resu tokens
05/07/2022,Cash,Eating out,-16,EUR,-16,EUR,Dinar xoan
05/07/2022,Cash,Entertainment,-263,EUR,-263,EUR,Resu despeses
05/07/2022,Cash,Salary,"1,800",EUR,"1,800",EUR,
06/07/2022,Cash,Food,-28,EUR,-28,EUR,Mercadona
06/07/2022,Cash,Entertainment,-10,EUR,-10,EUR,Birres
06/07/2022,Cash,Eating out,-9.5,EUR,-9.5,EUR,Dinar ofi
06/07/2022,Cash,Eating out,-10,EUR,-10,EUR,Pizza
06/07/2022,Cash,Car,-80,EUR,-80,EUR,Parking
07/07/2022,Cash,Eating out,-4.75,EUR,-4.75,EUR,Dinar ofi
07/07/2022,Cash,Bills,-38,EUR,-38,EUR,Pepephone
07/07/2022,Cash,Deposits,148,EUR,148,EUR,Renta
07/07/2022,Cash,House,-350,EUR,-350,EUR,Lloguer pis
09/07/2022,Cash,Eating out,-32,EUR,-32,EUR,Sopar lode ruth
09/07/2022,Cash,Entertainment,-12,EUR,-12,EUR,Birres
11/07/2022,Cash,Eating out,-27,EUR,-27,EUR,Dinar sete
12/07/2022,Cash,Eating out,-16,EUR,-16,EUR,Dinar ofi
13/07/2022,Cash,Food,-27,EUR,-27,EUR,Lidl
14/07/2022,Cash,Eating out,-13,EUR,-13,EUR,Dinar ofi
